,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education ",Enrichment & Supplementary Courses ,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1961,24.401,21.522,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.847,na,na,na,na,na,na,na,na,na,26.688,na,na,na,na,na,na,32.11,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.537,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.833,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962,24.513,21.674,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.59,na,na,na,na,na,na,na,na,na,26.849,na,na,na,na,na,na,32.154,na,na,na,na,na,na,na,na,na,18.612,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.826,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963,25.033,22.468,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.415,na,na,na,na,na,na,na,na,na,26.907,na,na,na,na,na,na,31.498,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.539,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.077,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.823,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964,25.448,23.034,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.723,na,na,na,na,na,na,na,na,na,27.401,na,na,na,na,na,na,31.574,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,96.585,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.578,na,na,na,na,na,na,18.586,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1965,25.513,22.926,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.39,na,na,na,na,na,na,na,na,na,27.908,na,na,na,na,na,na,32.343,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.218,na,na,na,na,na,na,18.91,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1966,26.028,23.565,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.315,na,na,na,na,na,na,na,na,na,27.748,na,na,na,na,na,na,34.577,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.612,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.701,na,na,na,na,na,na,19.204,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1967,26.874,24.68,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.424,na,na,na,na,na,na,na,na,na,28.445,na,na,na,na,na,na,36.767,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.42,na,na,na,na,na,na,19.29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1968,27.058,24.725,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.737,na,na,na,na,na,na,na,na,na,28.789,na,na,na,na,na,na,37.507,na,na,na,na,na,na,na,na,na,18.881,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.179,na,na,na,na,na,na,19.993,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1969,26.989,24.25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,56.929,na,na,na,na,na,na,na,na,na,29.432,na,na,na,na,na,na,37.335,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.675,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.499,na,na,na,na,na,na,20.683,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1970,27.079,24.129,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57.222,na,na,na,na,na,na,na,na,na,29.648,na,na,na,na,na,na,38.014,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.652,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.82,na,na,na,na,na,na,21.47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1971,27.589,24.681,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58.774,na,na,na,na,na,na,na,na,na,30.312,na,na,na,na,na,na,38.384,na,na,na,na,na,na,na,na,na,20.417,na,na,na,na,na,na,na,na,na,na,na,20.648,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,50.421,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.632,na,na,na,na,na,na,21.607,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
