,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1961 H1,24.359,21.457,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.981,na,na,na,na,na,na,na,na,na,26.647,na,na,na,na,na,na,32.186,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.538,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.834,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1961 H2,24.443,21.587,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.714,na,na,na,na,na,na,na,na,na,26.729,na,na,na,na,na,na,32.034,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.535,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.874,na,na,na,na,na,na,18.832,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 H1,24.487,21.637,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.748,na,na,na,na,na,na,na,na,na,26.791,na,na,na,na,na,na,32.137,na,na,na,na,na,na,na,na,na,18.62,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.83,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 H2,24.54,21.711,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.432,na,na,na,na,na,na,na,na,na,26.907,na,na,na,na,na,na,32.171,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.522,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14.93,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 H1,24.937,22.336,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.303,na,na,na,na,na,na,na,na,na,26.849,na,na,na,na,na,na,31.474,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.526,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.111,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 H2,25.129,22.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.527,na,na,na,na,na,na,na,na,na,26.965,na,na,na,na,na,na,31.522,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.552,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.043,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.412,na,na,na,na,na,na,18.825,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964 H1,25.38,22.998,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.653,na,na,na,na,na,na,na,na,na,27.105,na,na,na,na,na,na,31.51,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,89.155,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.578,na,na,na,na,na,na,18.569,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964 H2,25.515,23.07,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.792,na,na,na,na,na,na,na,na,na,27.696,na,na,na,na,na,na,31.639,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,104.014,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.578,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1965 H1,25.458,22.866,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.073,na,na,na,na,na,na,na,na,na,27.99,na,na,na,na,na,na,31.776,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.218,na,na,na,na,na,na,18.849,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1965 H2,25.568,22.986,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.708,na,na,na,na,na,na,na,na,na,27.825,na,na,na,na,na,na,32.91,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.218,na,na,na,na,na,na,18.972,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
